# index 0: u''=-u
0.0990972 0.0989351 0.995094 
0.0992489 0.099086 0.995079 
0.0994005 0.0992369 0.995064 
0.0995522 0.0993878 0.995049 
0.0997038 0.0995387 0.995034 
0.0998554 0.0996896 0.995019 
0.100007 0.0998404 0.995003 
0.100159 0.0999913 0.994988 
0.10031 0.100142 0.994973 
0.100462 0.100293 0.994958 
0.100614 0.100444 0.994943 
0.100765 0.100595 0.994927 
0.100917 0.100746 0.994912 
0.101069 0.100897 0.994897 
0.10122 0.101047 0.994882 
0.101372 0.101198 0.994866 
0.101523 0.101349 0.994851 
0.101675 0.1015 0.994836 
0.101827 0.101651 0.99482 
0.101978 0.101802 0.994805 
0.10213 0.101953 0.994789 
0.102282 0.102103 0.994774 
0.102433 0.102254 0.994758 
0.102585 0.102405 0.994743 
0.102737 0.102556 0.994727 
0.102888 0.102707 0.994712 
0.10304 0.102858 0.994696 
0.103191 0.103008 0.99468 
0.103343 0.103159 0.994665 
0.103495 0.10331 0.994649 
0.103646 0.103461 0.994634 
0.103798 0.103612 0.994618 
0.10395 0.103763 0.994602 
0.104101 0.103913 0.994586 
0.104253 0.104064 0.994571 
0.104405 0.104215 0.994555 
0.104556 0.104366 0.994539 
0.104708 0.104517 0.994523 
0.10486 0.104667 0.994507 
0.105011 0.104818 0.994491 
0.105163 0.104969 0.994475 
0.105314 0.10512 0.99446 
0.105466 0.105271 0.994444 
0.105618 0.105421 0.994428 
0.105769 0.105572 0.994412 
0.105921 0.105723 0.994396 
0.106073 0.105874 0.99438 
0.106224 0.106025 0.994364 
0.106376 0.106175 0.994347 
0.106528 0.106326 0.994331 
0.106679 0.106477 0.994315 
0.106831 0.106628 0.994299 
0.106982 0.106779 0.994283 
0.107134 0.106929 0.994267 
0.107286 0.10708 0.99425 
0.107437 0.107231 0.994234 
0.107589 0.107382 0.994218 
0.107741 0.107532 0.994202 
0.107892 0.107683 0.994185 
0.108044 0.107834 0.994169 
0.108196 0.107985 0.994153 
0.108347 0.108135 0.994136 
0.108499 0.108286 0.99412 
0.10865 0.108437 0.994103 
0.108802 0.108588 0.994087 
0.108954 0.108738 0.99407 
0.109105 0.108889 0.994054 
0.109257 0.10904 0.994037 
0.109409 0.109191 0.994021 
0.10956 0.109341 0.994004 
0.109712 0.109492 0.993988 
0.109864 0.109643 0.993971 
0.110015 0.109793 0.993954 
0.110167 0.109944 0.993938 
0.110319 0.110095 0.993921 
0.11047 0.110246 0.993904 
